사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Mar.25,2호선,218,종합운동장,3,1,1573,1426,6254,17584,18708,23559,23899,27653,24055,16115,15700,18192,15207,21549,21160,37824,19408,40769,16615,20388,29489,23733,44452,31998,37337,47807,20682,52392,15014,21883,37539,12967,46398,12845,6996,10895,1972,5559,372,1698,0,72,0,0,0,0
Mar.25,2호선,219,삼성(무역센터),117,1,4647,5644,7370,49188,15123,144070,21127,322970,21407,253608,24931,125599,38451,89117,49840,80969,65837,87502,82260,77063,106804,65110,138392,62434,230925,64452,293952,62402,157445,35241,125496,20234,103296,15847,67098,12189,18368,6897,2216,4013,0,1045,0,0,0,0
Mar.25,2호선,220,선릉,127,3,4662,5959,11756,43110,24328,124793,37494,276573,36159,218392,39519,106047,50356,69961,61597,66745,70816,78302,82043,62313,106592,56240,135691,55816,209996,61824,287809,63497,151078,41789,99956,26718,92033,23595,74070,19914,26641,12159,4200,4695,0,172,0,0,0,0
Mar.25,2호선,221,역삼,52,3,3774,5809,9081,45324,16824,155300,26870,364327,25756,303633,26850,124733,34759,68234,42505,61954,51592,68007,60968,53621,80038,46604,103424,45005,219799,53636,271096,60112,157387,38532,91635,24851,85402,20920,54877,17084,21162,10882,3568,3082,2,70,0,0,0,0
Mar.25,2호선,222,강남,164,14,7882,11349,17927,55897,41382,155213,64746,308162,55523,327740,57818,158325,74376,108848,91829,106297,108103,121702,120529,111615,143846,104015,170192,116382,250700,149830,316202,185172,219351,111357,171180,63658,192508,52223,165881,41316,75445,23891,12113,6564,1,151,0,0,0,0
Mar.25,2호선,223,교대(법원.검찰청),20,0,2818,6492,10801,27223,25878,56803,37749,158123,30704,132551,28291,72116,33988,62819,37109,57543,45619,61080,53266,53226,57669,50140,61092,52282,96398,68713,132940,72772,64427,42831,56434,27892,54101,25447,40704,23671,16412,12720,2975,3610,0,38,0,0,0,0
Mar.25,2호선,224,서초,7,0,1703,4610,9176,24706,19344,53796,29800,114471,28536,92701,22893,47137,30573,37745,28376,29027,38528,29876,39180,28832,46911,24042,52836,26825,75187,29062,94516,28713,46440,20316,32870,13182,31526,11875,17921,11423,5947,6488,1035,1608,0,12,0,0,0,0
Mar.25,2호선,225,방배,1,0,2528,3324,9126,13198,23055,28061,31629,82704,25027,68312,20895,37986,22927,29491,26017,30733,29674,26318,33923,26201,38922,25852,48028,26774,56948,33732,67276,38319,33617,26216,25713,18026,24456,16987,18702,16732,7586,9278,1487,2662,0,23,0,0,0,0
Mar.25,2호선,226,사당,122,2,12717,4240,31689,34193,82969,51088,105520,74442,80845,58249,55542,51916,52802,66470,58456,65269,63409,58918,70606,59294,72714,72238,74455,96357,88212,140558,106735,186205,76882,124570,74278,79501,79819,72865,74018,65938,39723,39899,6445,11387,5,658,0,0,0,0
Mar.25,2호선,227,낙성대(강감찬),30,0,11289,2224,26875,9295,86201,21196,123414,44777,81894,36796,47970,30856,41860,26891,44475,29154,44655,31948,39956,34099,40906,40759,42600,47374,49909,65620,55582,103331,32574,86139,26052,59094,23757,57723,18303,55134,9992,33592,1764,9190,1,138,0,0,0,0
