업체명,모델명,연료,변속형식,차량형식,자동차 종류,도심주행연비,고속도로연비,CO2배출량(g_km),1회충전주행거리(km),배기량,등급,출시연도
현대,싼타페(개조) 2.5T-GDI AWD 5인 18인치타이어,휘발유,자동,내연기관,승용차,8.9,11.4,172,,2497,4등급,2020
현대,싼타페(개조) 2.5T-GDI 2WD 5인 20인치타이어,휘발유,자동,내연기관,승용차,9.2,11.5,167,,2497,4등급,2020
현대,싼타페(개조) 2.5T-GDI AWD 7인 20인치타이어,휘발유,자동,내연기관,승용차,8.6,10.9,178,,2497,4등급,2020
현대,싼타페(개조) 2.5T-GDI AWD 7인 18인치타이어,휘발유,자동,내연기관,승용차,8.9,11.4,172,,2497,4등급,2020
현대,싼타페(개조) 2.5T-GDI 2WD 7인 20인치타이어,휘발유,자동,내연기관,승용차,9.2,11.5,167,,2497,4등급,2020
현대,싼타페(개조) 2.5T-GDI 2WD 7인 18인치(빌트인캠),휘발유,자동,내연기관,승용차,9.3,12.2,162,,2497,4등급,2020
현대,싼타페(개조) 2.5T-GDI 2WD 7인 18인치타이어,휘발유,자동,내연기관,승용차,9.4,12.2,161,,2497,4등급,2020
현대,싼타페(개조) 2.5T-GDI 2WD 5인 18인치(빌트인캠),휘발유,자동,내연기관,승용차,9.6,12.7,156,,2497,4등급,2020
현대,싼타페(개조) 2.5T-GDI 2WD 5인 18인치타이어,휘발유,자동,내연기관,승용차,9.6,12.8,156,,2497,4등급,2020
포드,Explorer 3.0 PHEV,전기+휘발유,자동,PHEV,승용차,12,13.7,65,30,2956,PHEV,2020
벤츠,Mercedes-AMG CLA45 S 4MATIC,휘발유,자동,내연기관,승용차,7.8,10.9,194,,1991,5등급,2020
벤츠,Mercedes-Benz C200,휘발유,자동,내연기관,승용차,9.5,13,158,,1991,4등급,2020
포르쉐,"타이칸 4S (High, 5인승)",전기,없음,전기,승용차,2.8,3,,289,,5등급,2020
BMW,BMW X6 xDrive30d,경유,자동,하이브리드,승용차,10,12.1,178,,2993,4등급,2020
